Clusters,Quality score,Unique
282.0,3.6105405537220947,18.0
284.0,3.622217944592066,19.0
286.0,3.570711642338377,21.0
288.0,3.6254649863489696,19.0
290.0,3.6109114998904617,19.0
292.0,3.656948752910668,18.0
294.0,3.643546401765879,20.0
296.0,3.6237798160499803,19.0
298.0,3.6918707098137924,20.0
300.0,3.644508669958003,20.0
302.0,3.6511007807221567,18.0
304.0,3.6397809965140926,22.0
306.0,3.7422709883747522,21.0
308.0,3.709871327430556,20.0
310.0,3.733509945515399,21.0
312.0,3.769221766901877,20.0
314.0,3.7380646677521874,19.0
316.0,3.679828231855141,22.0
318.0,3.5752719075467594,22.0
320.0,3.7757858997078824,22.0
322.0,3.6703709490735204,21.0
324.0,3.638544040411591,23.0
326.0,3.728737491987049,22.0
328.0,3.7028116056766636,23.0
330.0,3.627203516534813,24.0
332.0,3.783687723712765,22.0
334.0,3.7284341730661534,24.0
336.0,3.827509573378446,24.0
338.0,3.897307253548795,22.0
340.0,3.912598220277904,22.0
342.0,3.9592881117533576,23.0
344.0,3.7603353460622326,23.0
346.0,3.8824961408309537,21.0
348.0,4.028858510953452,21.0
350.0,4.0110231574496655,23.0
352.0,4.00212045907256,21.0
354.0,3.8878366332543903,21.0
356.0,4.227383837138874,21.0
358.0,4.20904292153045,23.0
360.0,4.324681681450363,22.0
362.0,4.649733677699977,19.0
364.0,4.380864242625568,20.0
366.0,4.465586215002679,22.0
368.0,4.740573875666113,23.0
370.0,4.571515409828155,24.0
372.0,4.343689449241358,23.0
374.0,4.562890173992383,24.0
376.0,4.788803184960248,23.0
378.0,4.647543216919326,24.0
380.0,4.514315621864913,22.0
382.0,4.623019152838536,24.0
384.0,4.707364842252201,26.0
386.0,5.068347147922568,24.0
388.0,5.94576350474095,23.0
390.0,5.456365248585897,24.0
392.0,5.619693182829926,26.0
394.0,6.314384322111213,22.0
396.0,6.751155774756381,26.0
398.0,6.261466868766085,25.0
400.0,6.508005675093551,21.0
402.0,5.988068578747436,25.0
404.0,6.430760575337602,25.0
406.0,7.0948516966922135,24.0
408.0,5.791994209177666,25.0
410.0,7.614759891393621,23.0
412.0,6.7091663424033054,23.0
414.0,7.278963519365879,24.0
416.0,6.630383100704149,25.0
418.0,7.368044299483132,23.0
420.0,6.9213976012665235,22.0
422.0,7.20594636270446,23.0
424.0,7.845644044594357,21.0
426.0,7.8053622560987765,23.0
428.0,8.489448719599586,23.0
430.0,9.893145261948092,20.0
432.0,9.380981065999453,22.0
434.0,9.342384817721838,22.0
436.0,9.611176306005301,21.0
438.0,9.070071313328555,24.0
440.0,8.998785167517394,22.0
442.0,8.491405174603894,22.0
444.0,6.9801732692367615,22.0
446.0,7.374940115307,23.0
448.0,7.5773161351969724,22.0
450.0,8.378273449642439,21.0
452.0,8.898632404513425,22.0
454.0,8.166416363912347,20.0
456.0,8.08881227681686,20.0
458.0,8.089761523501483,23.0
460.0,8.11997441864428,22.0
462.0,7.847499607294846,21.0
464.0,6.819943682538111,22.0
466.0,9.444199117189633,18.0
468.0,9.09378525890093,19.0
470.0,10.534970523126866,20.0
472.0,10.528933814332895,21.0
474.0,10.393346783207079,18.0
476.0,11.215275250263476,18.0
478.0,10.745335414416417,19.0
480.0,11.868378496989596,18.0
482.0,11.794643178266046,16.0
484.0,13.56160456184061,6.0
486.0,11.739103558453511,15.0
488.0,10.784545429452422,17.0
490.0,11.144414740362372,20.0
492.0,10.761843853571015,20.0
494.0,11.143620738403015,22.0
496.0,10.757907634724496,19.0
498.0,11.365844709057626,20.0
500.0,11.37921620517541,17.0
502.0,10.74862611524195,23.0
504.0,10.190333247259138,25.0
506.0,8.54074698800493,26.0
508.0,8.918555454063736,27.0
510.0,9.273897929618105,26.0
512.0,9.49575620021172,26.0
514.0,8.48329447695628,28.0
516.0,8.547866642016764,28.0
518.0,8.508964393265291,27.0
520.0,7.8497963867249805,27.0
522.0,8.338336385370773,28.0
524.0,8.43146139826322,23.0
526.0,8.768271576207827,21.0
528.0,8.085033488053888,28.0
530.0,7.406219031479868,30.0
532.0,7.799518712458378,25.0
534.0,8.041931947455058,24.0
536.0,7.779832832749785,25.0
538.0,7.6097108239245905,27.0
540.0,7.465283220825766,25.0
542.0,7.532172364849044,28.0
544.0,7.549467955120534,22.0
546.0,7.372919968920627,27.0
548.0,7.1872767028878535,25.0
550.0,7.126425062244031,26.0
552.0,7.152432975604197,25.0
554.0,7.184472638943255,24.0
556.0,7.131684971106596,21.0
558.0,6.998033084243151,25.0
560.0,7.142147758218369,20.0
562.0,6.686705951907705,25.0
564.0,6.902966546958994,21.0
566.0,6.862144055804033,21.0
568.0,7.0661308363786315,21.0
570.0,7.011034736236937,23.0
572.0,7.035773761417122,22.0
574.0,6.858863274316399,20.0
576.0,6.838187615918891,24.0
578.0,6.82861270615769,19.0
580.0,6.725517632277416,20.0
582.0,6.812330484431224,21.0
584.0,6.541122403497565,26.0
586.0,6.589711948280263,21.0
588.0,6.38570847345794,23.0
590.0,6.0909713177710785,21.0
592.0,6.268268735607904,22.0
594.0,6.475747009561221,21.0
596.0,6.568116022424152,19.0
598.0,6.203750670733159,20.0
600.0,5.908074182943409,23.0
602.0,5.815818050606799,22.0
604.0,5.633769067088945,25.0
606.0,6.092389751595019,21.0
608.0,5.659721694002814,22.0
610.0,5.789347587292187,22.0
612.0,5.666559263565952,23.0
614.0,6.065265854443991,22.0
616.0,6.045269575093185,24.0
618.0,5.532648026221309,25.0
620.0,6.626704523860097,20.0
622.0,7.068391306186912,21.0
624.0,7.566632167290447,22.0
626.0,7.463596147460581,23.0
628.0,7.200245486988811,22.0
630.0,6.880569841536175,22.0
632.0,6.612292251582183,22.0
634.0,7.610892636460533,21.0
636.0,6.899494778191057,22.0
638.0,6.449344721678824,22.0
640.0,6.4769380038674225,23.0
642.0,6.356668155292214,22.0
644.0,6.786258057384501,22.0
646.0,5.90505151280462,23.0
648.0,6.395522041955202,23.0
650.0,6.1011519997085735,22.0
652.0,6.121675735001024,24.0
654.0,6.28597551222562,27.0
656.0,6.376049986534231,24.0
658.0,6.041292026298583,24.0
660.0,6.933671346669456,24.0
662.0,6.451942118112829,25.0
664.0,5.991084183736765,28.0
666.0,6.438115271373233,27.0
668.0,6.056054286755929,28.0
670.0,6.111683203371187,28.0
672.0,6.129145726482511,30.0
674.0,6.07192184724842,30.0
676.0,5.9777690680349895,27.0
678.0,6.008389514923978,28.0
680.0,5.947570260551607,29.0
682.0,5.287294577319212,27.0
684.0,5.933845717684866,27.0
686.0,5.834950389081457,27.0
688.0,5.54076863159129,28.0
690.0,5.492746365703928,29.0
692.0,5.546317722604353,29.0
694.0,5.82976608148579,30.0
696.0,5.541272851913349,31.0
698.0,5.7354074750361,27.0
